Timestamp,Name,CPUPerc,MemUsage,NetIO,BlockIO
2026-04-30 14:59:52,couchdb.peer0.org1,1.60%,58.21MiB / 7.133GiB,4.99MB / 4.6MB,41.7MB / 93.7MB
2026-04-30 14:59:52,couchdb.peer1.org2,13.54%,50.15MiB / 7.133GiB,2.13MB / 2.16MB,39.6MB / 58.5MB
2026-04-30 14:59:52,couchdb.peer0.org2,9.83%,50.76MiB / 7.133GiB,2.13MB / 2.16MB,24.6MB / 52.7MB
2026-04-30 14:59:52,couchdb.peer1.org1,3.58%,69.96MiB / 7.133GiB,4.96MB / 4.2MB,32.6MB / 75.7MB
2026-04-30 14:59:52,nats.org1.esign.com,0.23%,7.996MiB / 7.133GiB,41.8kB / 45.1kB,6.69MB / 315kB
2026-04-30 14:59:52,orderer.esign.com,2.12%,30.98MiB / 7.133GiB,7.48MB / 14.4MB,46.8MB / 27.9MB
2026-04-30 14:59:52,nats.org2.esign.com,0.12%,7.82MiB / 7.133GiB,42.7kB / 46.4kB,7.35MB / 741kB
2026-04-30 15:00:00,bold_shamir,0.00%,545MiB / 7.133GiB,2.21MB / 910kB,68.8MB / 11.7MB
2026-04-30 15:00:00,dev-peer0.org1.esign.com-basic_1.0-41479698950150d988153a842a648c0707acfb05c38fe40865898c1e1df496b9,0.00%,26.03MiB / 7.133GiB,5.17MB / 4.44MB,17.5MB / 57.3kB
2026-04-30 15:00:00,dev-peer1.org1.esign.com-basic_1.0-41479698950150d988153a842a648c0707acfb05c38fe40865898c1e1df496b9,0.00%,4.02MiB / 7.133GiB,15.4kB / 10.2kB,8.19MB / 786kB
2026-04-30 15:00:00,dev-peer1.org2.esign.com-basic_1.0-41479698950150d988153a842a648c0707acfb05c38fe40865898c1e1df496b9,0.00%,2.422MiB / 7.133GiB,16.3kB / 11.3kB,8.2MB / 2.41MB
2026-04-30 15:00:00,dev-peer0.org2.esign.com-basic_1.0-41479698950150d988153a842a648c0707acfb05c38fe40865898c1e1df496b9,0.00%,17.14MiB / 7.133GiB,15.4kB / 10.3kB,16MB / 664kB
2026-04-30 15:00:00,app-node,0.00%,14.71MiB / 7.133GiB,98.2kB / 60.3kB,55.2MB / 33MB
2026-04-30 15:00:00,cli,0.00%,1.887MiB / 7.133GiB,7.81kB / 126B,1.2MB / 0B
2026-04-30 15:00:00,peer0.org2.esign.com,1.39%,106.8MiB / 7.133GiB,13MB / 6.05MB,14.4MB / 16.5MB
2026-04-30 15:00:00,peer1.org2.esign.com,1.42%,87.21MiB / 7.133GiB,13MB / 13MB,34.4MB / 42.1MB
2026-04-30 15:00:00,peer1.org1.esign.com,1.49%,105.3MiB / 7.133GiB,18.3MB / 9.28MB,11.4MB / 73.1MB
2026-04-30 15:00:00,peer0.org1.esign.com,1.45%,130.2MiB / 7.133GiB,34MB / 39.9MB,11.7MB / 66.2MB
2026-04-30 15:00:00,couchdb.peer0.org1,1.20%,59MiB / 7.133GiB,5.07MB / 4.64MB,42.7MB / 95.1MB
2026-04-30 15:00:00,couchdb.peer1.org2,1.46%,48.64MiB / 7.133GiB,2.16MB / 2.17MB,39.7MB / 58.9MB
2026-04-30 15:00:00,couchdb.peer0.org2,1.50%,49.6MiB / 7.133GiB,2.15MB / 2.18MB,25.2MB / 53.3MB
2026-04-30 15:00:00,couchdb.peer1.org1,0.61%,69.55MiB / 7.133GiB,5.03MB / 4.25MB,33.1MB / 76.9MB
2026-04-30 15:00:00,nats.org1.esign.com,0.23%,8.738MiB / 7.133GiB,41.9kB / 45.7kB,6.69MB / 315kB
2026-04-30 15:00:00,orderer.esign.com,0.09%,30.48MiB / 7.133GiB,7.48MB / 14.4MB,46.8MB / 27.9MB
2026-04-30 15:00:00,nats.org2.esign.com,0.05%,7.57MiB / 7.133GiB,42.7kB / 46.9kB,7.35MB / 741kB
2026-04-30 15:00:08,bold_shamir,70.08%,561.3MiB / 7.133GiB,3.31MB / 2.76MB,68.8MB / 11.7MB
2026-04-30 15:00:08,dev-peer0.org1.esign.com-basic_1.0-41479698950150d988153a842a648c0707acfb05c38fe40865898c1e1df496b9,6.64%,26.67MiB / 7.133GiB,5.87MB / 5.05MB,17.5MB / 57.3kB
2026-04-30 15:00:08,dev-peer1.org1.esign.com-basic_1.0-41479698950150d988153a842a648c0707acfb05c38fe40865898c1e1df496b9,0.00%,4.02MiB / 7.133GiB,15.4kB / 10.2kB,8.19MB / 786kB
2026-04-30 15:00:08,dev-peer1.org2.esign.com-basic_1.0-41479698950150d988153a842a648c0707acfb05c38fe40865898c1e1df496b9,0.00%,2.422MiB / 7.133GiB,16.3kB / 11.3kB,8.2MB / 2.41MB
2026-04-30 15:00:08,dev-peer0.org2.esign.com-basic_1.0-41479698950150d988153a842a648c0707acfb05c38fe40865898c1e1df496b9,0.00%,17.14MiB / 7.133GiB,15.4kB / 10.3kB,16MB / 664kB
2026-04-30 15:00:08,app-node,0.16%,14.77MiB / 7.133GiB,99.4kB / 61.7kB,55.2MB / 33MB
2026-04-30 15:00:08,cli,0.00%,1.887MiB / 7.133GiB,7.81kB / 126B,1.2MB / 0B
2026-04-30 15:00:08,peer0.org2.esign.com,35.69%,113.7MiB / 7.133GiB,14.1MB / 6.35MB,14.7MB / 17.8MB
2026-04-30 15:00:08,peer1.org2.esign.com,4.80%,95.11MiB / 7.133GiB,13.6MB / 13.6MB,38.5MB / 42.7MB
2026-04-30 15:00:08,peer1.org1.esign.com,46.79%,124.9MiB / 7.133GiB,20MB / 9.99MB,12.4MB / 81.8MB
2026-04-30 15:00:08,peer0.org1.esign.com,84.48%,140.8MiB / 7.133GiB,37.8MB / 44.6MB,12.4MB / 76.2MB
